id,cuisine,ingredients
2834,American,olive_oil pork ham mushroom chicken_broth black_pepper thyme white_wine garlic rosemary bread
2835,Mexican,tomato cheese cilantro onion black_bean corn cayenne scallion garlic
2836,Italian,vinegar mustard olive_oil fish parsley garlic wine white_bread bread
2837,Southwestern,olive_oil cilantro potato cayenne parsley garlic cheese
2838,Scandinavian,black_pepper dill vinegar cucumber gelatin
2839,Italian,wheat macaroni
2840,Italian,tomato olive_oil onion vinegar squash white_wine vegetable garlic bell_pepper oregano basil macaroni
2841,Asian,peanut_oil vinegar sesame_oil soy_sauce cayenne scallion garlic soybean buckwheat chicken nut chicken_broth
2842,American,butter olive_oil green_bell_pepper thyme onion cherry chicken_broth parsley celery garlic smoke hazelnut goat_cheese white_bread ham
2843,English_Scottish,butter thyme potato leek chicken_broth bay celery carrot garlic chive milk cream
2844,Chinese,butter kumquat bitter_orange cocoa brandy vegetable vegetable_oil rice egg cream
2845,African,coriander olive_oil lemon fish cayenne cumin garlic bell_pepper
2846,American,vinegar sesame_oil shallot soy_sauce ginger carrot vegetable_oil rice
2847,American,coriander vinegar pepper mustard fenugreek cumin white_wine mango cucumber vegetable_oil scallion turmeric
2848,Italian,tomato olive_oil clam shallot white_wine macaroni garlic
2849,Italian,tomato olive_oil onion garlic basil tuna
2850,Italian,butter wheat orange_juice walnut cocoa orange egg
2851,American,butter potato chicken_broth cayenne parsley celery leek
2852,American,strawberry raspberry blueberry cream_cheese cream
2853,Central_SouthAmerican,olive_oil vinegar cayenne black_pepper cumin bay garlic bell_pepper sherry
2854,American,butter wheat macadamia_nut vanilla orange_juice maple_syrup buttermilk orange egg banana
2855,Mexican,olive_oil lemon_juice mustard fish parsley scallion garlic lemon_peel
2856,American,lemon bacon brussels_sprout root
2857,Italian,lemon rosemary fish parsley garlic egg
2858,Asian,vinegar sesame_oil soy_sauce ginger rice pea
2859,English_Scottish,butter wheat cumin buttermilk cheddar_cheese egg
2860,Cajun_Creole,cane_molasses onion thyme cayenne fish lime_juice ginger black_pepper mango garlic bell_pepper oregano pineapple vegetable_oil
2861,American,butter cane_molasses wheat vanilla cocoa lard vegetable egg cream
2862,American,tomato cheese olive_oil garlic chive cheddar_cheese bread
2863,Italian,olive_oil wheat milk_fat lemon egg milk
2864,Italian,cane_molasses olive_oil grape_juice wheat ham onion yeast vinegar thyme parmesan_cheese honey garlic bell_pepper mozzarella_cheese tamarind milk
2865,American,tomato wheat oregano onion chicken_broth red_wine bacon bean garlic kidney_bean basil chicken
2866,Cajun_Creole,olive_oil pepper thyme onion cayenne chicken_broth black_pepper celery fennel carrot garlic bell_pepper oregano lentil beef_broth pork_sausage wine
2867,Jewish,vinegar pepper cucumber bell_pepper onion
2868,Japanese,vinegar rice soy_sauce avocado wasabi ginger scallion horseradish cucumber sesame_seed crab vegetable_oil carrot seaweed
2869,American,corn scallion milk_fat vegetable_oil egg milk
2870,Moroccan,tomato olive_oil green_bell_pepper lemon beef black_pepper parsley celery cucumber bell_pepper wheat mint
2871,American,olive_oil grape_juice lemon endive lima_bean parsley scallion tuna
2872,Chinese,pepper sesame_oil mushroom starch soy_sauce cilantro scallion pork cabbage rice egg nut wine
2873,Greek,butter lemon vanilla almond walnut honey nutmeg cinnamon wheat milk cream
2874,MiddleEastern,butter olive_oil cilantro wheat onion cumin garlic bell_pepper brassica currant pork_sausage cinnamon
2875,Italian,butter cheese wheat black_pepper parmesan_cheese nutmeg egg
2876,Southern_SoulFood,cane_molasses butter wheat yeast corn cocoa vanilla pecan egg milk
2877,African,quince lemon_juice garlic onion
2878,Cajun_Creole,cane_molasses cherry mustard ham pineapple
2879,English_Scottish,butter date cane_molasses wheat egg
2880,Italian,olive_oil lemon_juice onion vinegar parsley cured_pork fennel garlic sherry bread
2881,Asian,coconut rice
2882,Asian,cane_molasses pepper sesame_oil beef soy_sauce cayenne chinese_cabbage scallion garlic ginger soybean shrimp rice fish sesame_seed
2883,American,butter wheat cheddar_cheese cayenne milk
2884,American,tomato vinegar pepper onion beef black_pepper parsley bread egg mustard
2885,American,butter olive_oil porcini mushroom thyme starch shallot mint black_pepper parsley turkey garlic white_wine rosemary cream
2886,Mexican,butter cheese onion avocado corn cayenne garlic tomato lime
2887,Italian,cheese black_pepper cayenne
2888,Asian,coriander cilantro wheat lime_juice soy_sauce black_pepper cumin ginger shrimp mango garlic galanga vegetable_oil lime egg thai_pepper lemongrass
2889,American,butter wheat yeast vanilla gelatin bean lard egg milk
2890,Central_SouthAmerican,tomato leaf onion corn cayenne seed garlic egg
2891,Irish,butter coffee wheat vanilla gelatin lard raspberry egg cream
2892,American,butter thyme potato shallot chicken_broth celery wood cream
2893,Jewish,dill wheat black_pepper ginger scallion chicken egg
2894,American,butter tomato wheat onion beef potato black_pepper cayenne parsley garlic bell_pepper cheddar_cheese cream
2895,Central_SouthAmerican,tomato corn cottage_cheese egg scallion
2896,American,butter cheese grape buttermilk egg vanilla pistachio lard wheat mint cream
2897,Italian,tomato olive_oil grape_juice bean kidney_bean bread
2898,Southwestern,butter wheat corn sage honey milk_fat egg milk
2899,Asian,vinegar pork kumquat starch chicken_broth cayenne pepper ginger garlic soybean rice oyster
2900,Greek,dill lemon_juice olive_oil shallot feta_cheese shrimp cucumber anise_seed
2901,American,butter vinegar mustard shallot cider ham apple
2902,Thai,cane_molasses coriander pork onion lime_juice soy_sauce cayenne scallion garlic peanut_butter chicken_broth lemongrass
2903,American,coffee wheat vanilla raisin cocoa pecan gin egg
2904,American,butter olive_oil lemon_juice lemon onion cayenne shrimp orange seed artichoke basil white_wine
2905,American,cane_molasses dill olive_oil black_pepper salmon fennel bell_pepper smoke vegetable_oil
2906,American,butter lemon_juice wheat milk_fat vanilla milk strawberry blackberry raspberry egg blueberry cream
2907,American,butter wheat vanilla cocoa raspberry egg cream
2908,American,butter wheat egg milk_fat hazelnut lemon_peel milk cream
2909,American,honey vinegar cider cinnamon
2910,EasternEuropean_Russian,butter wheat almond currant cinnamon lemon egg
2911,American,butter marjoram ham corn scallion yam buttermilk bell_pepper sweet_potato bread egg chicken_broth mustard
2912,MiddleEastern,lemon_juice lemon black_pepper cumin garlic bell_pepper chicken mint
2913,English_Scottish,wheat starch vanilla port_wine orange raspberry egg milk
2914,American,onion black_pepper parmesan_cheese garlic sweet_potato vegetable_oil rosemary
2915,Italian,tomato olive_oil beef black_pepper veal saffron white_wine macaroni parmesan_cheese garlic butter rosemary
2916,Southern_SoulFood,cilantro green_bell_pepper wheat okra onion black_pepper jasmine lime_juice cream vegetable_oil rice egg lime
2917,American,butter beef onion black_pepper garlic rosemary
2918,Mexican,tomato pepper potato cayenne lime_juice cumin scallion cilantro cream
2919,Asian,cane_molasses coriander coconut shallot fish black_pepper squash ginger cumin cilantro garlic galanga basil vegetable_oil shrimp lemongrass soy_sauce thai_pepper lime
2920,American,cane_molasses orange_peel red_wine cinnamon cranberry
2921,American,butter olive_oil thyme black_pepper carrot turnip garlic
2922,American,shallot vinegar red_wine olive_oil lettuce
2923,Asian,cilantro starch lime_juice pear coconut ginger milk_fat mango galanga basil lime lemongrass milk cayenne
2924,Italian,tomato olive_oil ham basil olive garlic bell_pepper mozzarella_cheese egg
2925,German,cane_molasses butter wheat apple starch cherry plum hazelnut star_anise vanilla brandy cinnamon lard white_wine egg milk cream
2926,American,butter onion beef horseradish vegetable_oil egg bread
2927,Italian,onion chicken_broth bacon macaroni rice pea
2928,Mexican,tomato onion black_bean cayenne garlic chicken cheddar_cheese broccoli brown_rice whole_grain_wheat_flour
2929,American,coriander tomato green_bell_pepper meat beef black_pepper cayenne onion cumin bean garlic oregano vegetable_oil bay pork_sausage
2930,Italian,butter cheese lemon_juice wheat gruyere_cheese parmesan_cheese cured_pork milk_fat chicory nutmeg milk bread
2931,Mexican,butter garlic
2932,American,butter olive_oil marjoram wheat onion mushroom shallot chicken_broth red_wine bacon garlic chive chicken
2933,American,butter olive_oil mustard tarragon shallot chicken_broth brandy chicken cream
2934,Italian,lemon_juice grape wine
2935,American,chicory lovage mustard bay black_pepper ginger shrimp celery cinnamon vegetable_oil scallion egg bell_pepper
2936,American,pepper lemon_juice scallion celery blue_cheese vegetable_oil chicken cream egg bread
2937,American,butter wheat milk cocoa egg banana cream
2938,American,tomato wheat yeast bacon seed vegetable_oil cheddar_cheese egg milk
2939,French,vanilla egg cream
2940,Irish,butter cane_molasses wheat orange_juice raisin carrot nutmeg cinnamon orange egg cream
2941,American,olive_oil mushroom potato shallot parsley garlic
2942,Italian,tomato olive_oil currant onion nut black_pepper parmesan_cheese fennel macaroni basil garlic egg milk pork_sausage bread
2943,Jewish,pepper onion fish parsnip carrot egg
2944,American,butter cane_molasses celery_oil onion vinegar shallot egg corn cayenne parsley shrimp celery horseradish garlic bell_pepper vegetable_oil chive tomato tamarind lemon_peel mustard
2945,Asian,coriander pepper onion soy_sauce garlic crab vegetable_oil rice egg
2946,French,lemon_peel lemon_juice egg cream
2947,American,tomato olive_oil pepper onion vinegar red_wine squash garlic bell_pepper mozzarella_cheese zucchini
2948,American,lamb olive_oil green_bell_pepper black_pepper white_wine tomato garlic cinnamon bay
2949,American,butter wheat egg vanilla anise_seed cocoa pistachio cranberry lemon_peel milk
2950,American,olive_oil whole_grain_wheat_flour bread
2951,Spanish_Portuguese,tomato cheese cilantro corn bell_pepper pork_sausage
2952,American,tomato olive_oil cilantro onion avocado chicken_broth lime_juice parsley garlic chive cayenne
2953,Irish,kumquat lemon_juice bacon mustard parsley
2954,American,butter cane_molasses coffee wheat apricot corn ginger vegetable_oil egg vanilla cream
2955,Asian,lime_juice fish garlic
2956,Mediterranean,orange_peel wheat rum vanilla cocoa fruit cinnamon egg milk cream
2957,American,olive_oil pepper green_bell_pepper onion vinegar red_wine parsley walnut olive garlic bell_pepper basil
2958,French,vinegar lemon_juice apple cherry ginger white_wine celery bell_pepper
2959,American,olive_oil lemon_juice lime_juice cayenne parsley shrimp celery black_pepper garlic blue_cheese sherry cream
2960,Mexican,turkey cheese cilantro meat onion vinegar black_bean lime_juice corn cayenne cumin scallion garlic tomato oregano orange vegetable_oil cream bell_pepper
2961,Mediterranean,lamb olive_oil parsley onion
2962,Vietnamese,coriander fenugreek pepper onion shallot fish cayenne cilantro ginger cumin carrot garlic sweet_potato turmeric basil vegetable_oil chicken scallion chicken_broth coconut lemongrass
2963,French,butter egg wheat parmesan_cheese lard
2964,Central_SouthAmerican,vinegar pepper beef black_pepper cumin bay garlic olive
2965,Mediterranean,peanut_oil olive_oil wheat black_pepper parmesan_cheese rice egg leek pumpkin
2966,Italian,olive_oil wheat onion yeast parmesan_cheese blue_cheese mozzarella_cheese cheese milk
2967,Mediterranean,butter wheat milk_fat cherry almond milk pistachio lemon_peel egg
2968,Italian,bacon corn sage parmesan_cheese cream
2969,Asian,wheat sesame_oil onion bean carrot garlic mushroom
2970,Jewish,butter wheat walnut cocoa orange egg wine
2971,American,cider cranberry lemon_peel parsley apple
2972,Jewish,olive_oil cilantro onion potato chicken_broth zucchini
2973,Thai,cane_molasses vinegar cilantro rice tea fish lime_juice shrimp mango macaroni cucumber scallion mint
2974,American,butter vanilla oat wheat
2975,American,butter cane_molasses wheat vanilla cocoa egg
2976,Irish,lamb beef rutabaga onion thyme bay carrot barley vegetable_oil cabbage
2977,American,cocoa apple apricot plum orange_juice pear honey fruit fig
2978,EasternEuropean_Russian,milk_fat vanilla egg milk
2979,Mexican,tomato olive_oil cilantro squid onion lime_juice orange_juice cayenne scallop macaroni olive
2980,Chinese,sesame_oil starch shiitake ginger scallion carrot garlic vegetable vegetable_oil cabbage wine
2981,French,orange_peel olive_oil thyme wheat meat beef red_wine onion bay cured_pork carrot garlic parsley rosemary
2982,American,butter wheat starch cherry almond buttermilk apricot cream
2983,Mediterranean,tomato cilantro lemon onion fish parsley saffron pepper carrot garlic bell_pepper olive vegetable_oil turmeric
2984,Asian,peanut_oil pork black_bean cayenne soy_sauce bacon ginger scallion bean leek wine
2985,Southern_SoulFood,cayenne black_pepper buttermilk vegetable_oil chicken bread
2986,Jewish,butter wheat apple apricot vanilla raisin orange cream_cheese date egg plum
2987,American,cayenne black_pepper buttermilk vegetable_oil chicken bread
2988,Jewish,olive_oil lemon_juice lemon thyme parsley bay garlic bell_pepper scallion lemon_peel artichoke
2989,American,lamb olive_oil onion cumin parsnip celery garlic tomato lentil mint beef_broth
2990,Italian,lemon anise cocoa watermelon mint wine
2991,Asian,lemon_juice sesame_oil soy_sauce scallion sesame_seed chicken
2992,Asian,tomato cane_molasses lemon_juice beef onion black_pepper sour_cherry vegetable_oil cabbage rice mustard
